StationNumber,UniqueNames,UniqueLocations,ProjectCount,SampleCount,RecordCount
AB07AD0100,1,1,1,46,2578
AB07DD0010,1,1,1,46,2609
AB07BE0010,1,1,1,45,2544
AB07BD0010,1,1,1,46,2583
AB07AE0160,1,1,1,9,488
AB07DD0105,1,1,1,16,945
AB07CC0030,1,1,1,46,2612
AB05ED0100,1,1,1,33,1781
AB05DC0070,1,1,1,55,3025
AB05FA0060,1,1,1,45,2442
AB05FA0340,1,1,1,45,2453
AB07GE0190,1,1,1,1,51
AB05CA0045,1,1,1,23,1219
AB05AB0100,1,1,1,25,1332
AB06AD0130,1,1,1,45,2534
AB06AC0100,1,1,1,45,2524
AB06AD0060,1,1,1,45,2529
AB07GD0070,1,1,1,5,233
AB07GD0005,1,1,1,5,219
AB07GD0045,1,1,1,5,221
AB07GD0040,1,1,1,5,220
AB07GD0020,1,1,1,5,219
AB07GD0030,1,1,1,5,217
AB07GD0022,1,1,1,4,174
AB05AD0240,1,1,1,44,2363
AB05AD0070,1,1,1,44,2360
AB07AC0015,1,1,1,22,1152
AB05CH0120,1,1,1,32,1716
AB07GE0090,1,1,1,1,51
AB05DC0021,1,1,1,40,2159
AB05AA0035,1,1,1,8,363
AB05AA0045,1,1,1,8,367
AB05CC0460,1,1,1,35,1868
AB05BM0590,1,1,1,46,2519
AB05BH0010,1,1,1,46,2480
AB05BM0010,1,1,1,46,2500
AB05BN0010,1,1,1,46,2519
AB05DD0030,1,1,1,54,2963
AB05AH0185,1,1,1,7,260
AB05DB0010,1,1,1,56,3084
AB05DA0015,1,1,1,27,1474
AB05BN0070,1,1,1,26,1379
AB05DF0030,1,1,1,37,2028
AB05BM0620,1,1,1,26,1376
AB05AA0065,1,1,1,8,367
AB05AA0055,1,1,1,8,377
AB05AA0105,1,1,1,8,375
AB05AA0110,1,1,1,8,377
AB05AA0090,1,1,1,8,369
AB05BM0585,1,1,1,24,1280
AB05BJ0450,1,1,1,46,2496
AB06AC0150,1,1,1,9,436
AB06AC0160,1,1,1,17,851
AB05AG0140,1,1,1,29,1539
AB05CA0015,1,1,1,23,1229
AB05BK0070,1,1,1,41,2193
AB05CG0032,1,1,1,11,467
AB05BG0090,1,1,1,41,2183
AB05AA1270,1,1,1,8,370
AB05BL0490,1,1,1,41,2187
AB05BL0210,1,1,1,41,2207
AB05CA0090,1,1,1,23,1221
AB05BH0040,1,1,1,37,1978
AB05CE0690,1,1,1,27,1443
AB07BK0125,1,1,1,33,1744
AB05AC0190,1,1,1,44,2357
AB05AC0100,1,1,1,29,1544
AB05AC0175,1,1,1,44,2345
AB05AC0320,1,1,1,44,2325
AB05CB0270,1,1,1,35,1895
AB05CJ0030,1,1,1,21,1123
AB07AG0345,1,1,1,23,1216
AB05CC0100,1,1,1,35,1880
AB05CE0700,1,1,1,12,620
AB07AA0007,1,1,1,33,1772
AB11AA0070,1,1,1,46,2500
AB11AA0280,1,1,1,23,1222
AB11AA0150,1,1,1,28,1477
AB11AA0330,1,1,1,10,529
AB05DE0155,1,1,1,39,2106
AB05AC0160,1,1,1,29,1481
AB07BB0326,1,1,1,3,144
AB05BN0130,1,1,1,26,1368
AB05DD0200,1,1,1,55,3044
AB11AA0270,1,1,1,28,1469
AB05DC0050,1,1,1,43,2297
AB05DF0010,1,1,2,48,2564
AB05EB0545,1,1,1,20,707
AB05EC0010,1,1,2,51,2588
AB05DC0025,1,1,1,46,2445
AB05DA0010,1,1,1,54,2968
AB05EB0595,1,1,1,11,608
AB05BH0370,1,1,1,39,2052
AB05AD0010,1,1,1,45,2439
AB05AG0010,1,1,1,45,2453
AB05AA1595,1,1,1,45,2459
AB07HA0230,1,1,1,48,2477
AB07HF0010,1,1,1,46,2565
AB07FD0135,1,1,1,46,2515
AB07BC0025,1,1,1,33,1774
AB05AA0480,1,1,1,45,2403
AB05AA0440,1,1,1,45,2414
AB05BK0145,1,1,1,40,2147
AB07GC0011,1,1,1,1,54
AB05FA1860,1,1,1,2,103
AB07GE0012,1,1,1,1,52
AB05FA0270,1,1,1,2,96
AB05FA0265,1,1,1,2,102
AB05FA1840,1,1,1,2,101
AB05AA0054,1,1,1,5,237
AB05AA0056,1,1,1,8,372
AB05AA0014,1,1,1,2,82
AB05DC0040,1,1,1,56,3073
AB05CB0070,1,1,1,35,1884
AB11AA0290,1,1,1,17,909
AB05CC0010,1,1,1,46,2521
AB05CD0375,1,1,1,46,2506
AB05CD0250,1,1,1,46,2520
AB05CA0050,1,1,1,46,2484
AB05CJ0070,1,1,1,46,2493
AB05FC0052,1,1,1,1,48
AB05FC0051,1,1,1,1,48
AB05FC0053,1,1,1,1,48
AB05FC0054,1,1,1,1,12
AB05EC0065,1,1,1,34,1867
AB07GD0091,1,1,1,1,52
AB07GD0095,1,1,1,4,175
AB05DE0015,1,1,1,46,2516
AB05CE0100,1,1,1,34,1824
AB05AH0020,1,1,1,40,2166
AB07AH0005,1,1,1,23,1215
AB05AH0050,1,1,1,40,2154
AB05BL0470,1,1,1,41,2184
AB05BL1440,1,1,1,41,2175
AB05DA0025,1,1,1,39,2102
AB07GJ0010,1,1,1,46,2495
AB05AJ0060,1,1,1,46,2512
AB05AK0990,1,1,1,39,2100
AB07GE0017,1,1,1,1,52
AB05AE0070,1,1,1,44,2342
AB07GD0027,1,1,1,3,120
AB05DF0020,1,1,1,49,2681
AB05EA0025,1,1,1,34,1863
AB07AA0005,1,1,1,14,725
AB05DB0016,1,1,1,2,72
AB05DB0017,1,1,1,1,36
AB05DB0018,1,1,1,1,36
AB05CE0680,1,1,1,27,1430
AB05DE2000,1,1,1,36,1961
AB05BN0065,1,1,1,25,1302
AB05DB0019,1,1,1,1,36
AB05EE0530,1,1,1,34,1853
AB05BG0100,1,1,1,41,2214
AB07GE0180,1,1,1,1,51
AB07GE0170,1,1,1,1,51
AB07GE0200,1,1,1,1,51
AB07GC0020,1,1,1,1,54
AB07GE0060,1,1,1,1,51
AB07GE0165,1,1,1,45,2422
AB07GE0020,1,1,1,45,2424
AB07GE0070,1,1,1,1,52
AB07GE0150,1,1,1,1,51
AB07GE0015,1,1,1,1,51
AB07GE0072,1,1,1,1,53
AB07GC0010,1,1,1,1,52
AB07GE0011,1,1,1,1,52
AB05CC0225,1,1,1,35,1867
AB05AD0190,1,1,1,44,2367
AB05DF0840,1,1,1,38,2089
AB05FA0269,1,1,1,2,96
AB05FA0268,1,1,1,2,96
AB05BM0571,1,1,1,16,848
AB05DF0260,1,1,1,38,2084
AB05AB0260,1,1,1,29,1540
