column,missing_count,missing_percent,data_type
MeasurementComment,246997,99.94982215190129,str
MeasurementQualifierComment,238544,96.52923061981782,str
MeasurementQualifierDescription,238465,96.49726247465816,str
MeasurementQualifier,238465,96.49726247465816,str
MeasurementFlag,209594,84.81432172903153,str
SampleDetectLimit,96907,39.21439294920302,float64
MethodDetectionLimit,82658,33.44839167857042,float64
UnitCode,22532,9.117800591613015,str
SampleComment,9613,3.889997207845549,str
CollectionCode,51,0.020637663330918862,float64
ContinentalRiverBasinCode,0,0.0,str
RiverBasinCode,0,0.0,str
RiverSubBasinCode,0,0.0,str
ProjectNumber,0,0.0,str
QCSampleFlag,0,0.0,str
SampleTypeCode,0,0.0,int64
SampleMatrixCode,0,0.0,int64
LongitudeDecimalDegrees,0,0.0,float64
Station,0,0.0,str
LatitudeDecimalDegrees,0,0.0,float64
StationNumber,0,0.0,str
StationTypeCode,0,0.0,int64
SampleNumber,0,0.0,str
MeasurementValue,0,0.0,object
VmvCode,0,0.0,int64
VariableCode,0,0.0,int64
SampleDateTime,0,0.0,str
VariableName,0,0.0,str
MethodCode,0,0.0,int64
LabCode,0,0.0,int64
