VariableName,TotalMeasurements,StationCount,DateMin,DateMax,StationCoverage
RESIDUE NONFILTERABLE,4580,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
AMMONIA TOTAL,4579,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
NITROGEN TOTAL KJELDAHL (TKN),4579,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
PHOSPHORUS TOTAL (P),4579,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
CARBON DISSOLVED ORGANIC (DOC),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
CALCIUM DISSOLVED/FILTERED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
CHLORIDE DISSOLVED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
ALKALINITY TOTAL CACO3,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
BICARBONATE (CALCD.),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
NITROGEN NO3 & NO2,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
HYDROXIDE (CALCD.),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
IRON DISSOLVED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
NITROGEN NITRATE,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
MANGANESE DISSOLVED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
HARDNESS TOTAL CACO3 (CALCD.),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
CARBONATE (CALCD.),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
SPECIFIC CONDUCTANCE (LAB),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
ALKALINITY PHENOLPHTHALEIN CACO3,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
SODIUM DISSOLVED/FILTERED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
TOTAL DISSOLVED SOLIDS (CALCD.),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
SULPHATE DISSOLVED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
POTASSIUM DISSOLVED/FILTERED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
PH (LAB),4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
PHOSPHORUS TOTAL DISSOLVED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
MAGNESIUM DISSOLVED/FILTERED,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
NITROGEN NITRITE,4578,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
NITROGEN TOTAL (CALCD.),4577,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
OXYGEN DISSOLVED (FIELD METER),4555,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
TEMPERATURE WATER,4554,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
SPECIFIC CONDUCTANCE (FIELD),4547,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
PHOSPHATE DISSOLVED ORTHO,4546,171,1/10/2022 10:00,9/9/2021 9:50,98.27586206896552
PH (FIELD),4539,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
NITROGEN DISSOLVED KJELDAHL (DKN),4538,171,1/10/2022 10:00,9/9/2021 9:50,98.27586206896552
TURBIDITY,4534,168,1/10/2022 10:00,9/9/2021 9:50,96.55172413793103
RESIDUE FILTERABLE,4534,168,1/10/2022 10:00,9/9/2021 9:50,96.55172413793103
FOAM (VISUAL) AT SITE,4519,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
"FLOW, ESTIMATE",4515,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
TURBIDITY (VISUAL) AT SITE,4507,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
COLOUR (VISUAL) AT SITE,4499,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
ODOUR APPARENT IN SAMPLE,4492,169,1/10/2022 10:00,9/9/2021 9:50,97.1264367816092
IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.),4457,172,1/10/2022 10:00,9/9/2021 9:50,98.85057471264368
CLOUD COVER,4443,170,1/10/2022 10:00,9/9/2021 9:50,97.70114942528735
CARBON TOTAL ORGANIC (TOC),4434,171,1/10/2022 10:00,9/9/2021 9:50,98.27586206896552
TEMPERATURE AIR,4363,162,1/10/2022 10:00,9/9/2021 9:50,93.10344827586206
SUM OF ANIONS,4306,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
SUM OF CATIONS,4306,173,1/10/2022 10:00,9/9/2021 9:50,99.42528735632185
COLIFORMS FECAL,4287,138,1/10/2022 10:00,9/9/2021 9:50,79.3103448275862
ESCHERICHIA COLI,4287,138,1/10/2022 10:00,9/9/2021 9:50,79.3103448275862
COLOUR TRUE,3990,168,1/10/2022 10:00,9/9/2021 9:50,96.55172413793103
SAMPLING DISTANCE FROM LEFT BANK,3985,162,1/10/2022 10:00,9/9/2021 9:50,93.10344827586206
CHLOROPHYLL A,3926,143,1/10/2022 12:20,9/9/2021 9:50,82.183908045977
REDOX POTENTIAL,2362,160,1/10/2022 13:15,9/9/2020 9:16,91.95402298850574
HYDROGEN-2 (DEUTERIUM) IN WATER,1962,122,1/10/2022 15:00,9/9/2020 9:30,70.11494252873563
OXYGEN-18 IN WATER,1962,122,1/10/2022 15:00,9/9/2020 9:30,70.11494252873563
MACROPHYTE COVER,1629,89,1/11/2021 10:00,9/9/2021 9:50,51.14942528735632
ALGAE COVER,1549,88,1/11/2021 10:00,9/9/2021 9:50,50.57471264367816
"WATER DEPTH, ESTIMATE",1485,129,1/10/2022 10:00,9/8/2021 8:00,74.13793103448276
SNOW COVER IN IMMEDIATE AREA,1437,131,1/10/2022 10:00,6/6/2023 13:00,75.28735632183908
ICE COVER,1434,132,1/10/2022 10:00,6/6/2023 13:00,75.86206896551724
SNOW COVER ON ICE,993,115,1/10/2022 10:00,6/6/2023 13:00,66.0919540229885
"ICE THICKNESS, ESTIMATE",948,117,1/10/2022 10:00,5/3/2021 13:30,67.24137931034483
"SNOW DEPTH ON ICE, ESTIMATE",904,109,1/10/2022 10:00,6/5/2023 8:30,62.64367816091954
FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),418,20,10/17/2023 11:25,9/27/2023 14:00,11.494252873563218
FLUORIDE DISSOLVED,370,25,1/12/2023 11:10,9/8/2022 11:00,14.367816091954023
SODIUM ADSORPTION RATIO (CALCD.),198,21,1/11/2021 11:40,9/9/2020 12:00,12.068965517241379
RIVER WIDTH,56,6,10/18/2021 9:45,9/8/2022 11:00,3.4482758620689653
CARBON DISSOLVED INORGANIC (DIC),47,7,1/12/2021 13:03,9/16/2020 11:15,4.022988505747127
SILICA REACTIVE,46,6,1/12/2021 13:03,9/16/2020 11:15,3.4482758620689653
UV TRANSMITTANCE (254NM),16,2,10/24/2023 10:45,9/26/2023 9:55,1.1494252873563218
AMMONIA DISSOLVED,15,4,10/18/2022 13:40,9/14/2022 11:40,2.2988505747126435
CARBON DISULFIDE,2,2,3/13/2023 15:15,3/15/2023 9:15,1.1494252873563218
CYANIDE TOTAL,2,2,3/13/2023 15:15,3/15/2023 9:15,1.1494252873563218
FORMALDEHYDE TOTAL,2,2,3/13/2023 15:15,3/15/2023 9:15,1.1494252873563218
NITRILOTRIACETIC ACID (NTA),2,2,3/13/2023 15:15,3/15/2023 9:15,1.1494252873563218
PHENOLIC MATERIAL,2,2,3/13/2023 15:15,3/15/2023 9:15,1.1494252873563218
OXYGEN TOTAL COD,1,1,10/8/2020 14:30,10/8/2020 14:30,0.5747126436781609
LATITUDE,1,1,6/20/2023 11:30,6/20/2023 11:30,0.5747126436781609
IONIC BALANCE DIFFERENCE (CALCD.),1,1,7/8/2021 12:00,7/8/2021 12:00,0.5747126436781609
HYDROGEN SULPHIDE H2S,1,1,10/8/2020 14:30,10/8/2020 14:30,0.5747126436781609
LONGITUDE,1,1,6/20/2023 11:30,6/20/2023 11:30,0.5747126436781609
SULPHIDE,1,1,10/8/2020 14:30,10/8/2020 14:30,0.5747126436781609
TANNIN AND LIGNIN LIG. SULPH.,1,1,10/8/2020 14:30,10/8/2020 14:30,0.5747126436781609
