StationNumber,IssueCount,CompleteRecords,TotalRecords,CompliancePct
AB05AA0014,82,0,82,0.0
AB05AA0035,363,0,363,0.0
AB05AA0045,367,0,367,0.0
AB05AA0054,237,0,237,0.0
AB05AA0055,377,0,377,0.0
AB05AA0056,372,0,372,0.0
AB05AA0065,367,0,367,0.0
AB05AA0090,369,0,369,0.0
AB05AA0105,375,0,375,0.0
AB05AA0110,377,0,377,0.0
AB05AA0440,2414,0,2414,0.0
AB05AA0480,2403,0,2403,0.0
AB05AA1270,370,0,370,0.0
AB05AA1595,2459,0,2459,0.0
AB05AB0100,1332,0,1332,0.0
AB05AB0260,1540,0,1540,0.0
AB05AC0100,1544,0,1544,0.0
AB05AC0160,1481,0,1481,0.0
AB05AC0175,2345,0,2345,0.0
AB05AC0190,2357,0,2357,0.0
AB05AC0320,2325,0,2325,0.0
AB05AD0010,2439,0,2439,0.0
AB05AD0070,2360,0,2360,0.0
AB05AD0190,2367,0,2367,0.0
AB05AD0240,2363,0,2363,0.0
AB05AE0070,2342,0,2342,0.0
AB05AG0010,2453,0,2453,0.0
AB05AG0140,1539,0,1539,0.0
AB05AH0020,2166,0,2166,0.0
AB05AH0050,2154,0,2154,0.0
AB05AH0185,260,0,260,0.0
AB05AJ0060,2512,0,2512,0.0
AB05AK0990,2100,0,2100,0.0
AB05BG0090,2183,0,2183,0.0
AB05BG0100,2214,0,2214,0.0
AB05BH0010,2480,0,2480,0.0
AB05BH0040,1978,0,1978,0.0
AB05BH0370,2052,0,2052,0.0
AB05BJ0450,2496,0,2496,0.0
AB05BK0070,2193,0,2193,0.0
AB05BK0145,2147,0,2147,0.0
AB05BL0210,2207,0,2207,0.0
AB05BL0470,2184,0,2184,0.0
AB05BL0490,2187,0,2187,0.0
AB05BL1440,2175,0,2175,0.0
AB05BM0010,2500,0,2500,0.0
AB05BM0571,848,0,848,0.0
AB05BM0585,1280,0,1280,0.0
AB05BM0590,2519,0,2519,0.0
AB05BM0620,1376,0,1376,0.0
AB05BN0010,2519,0,2519,0.0
AB05BN0065,1302,0,1302,0.0
AB05BN0070,1379,0,1379,0.0
AB05BN0130,1368,0,1368,0.0
AB05CA0015,1229,0,1229,0.0
AB05CA0045,1219,0,1219,0.0
AB05CA0050,2484,0,2484,0.0
AB05CA0090,1221,0,1221,0.0
AB05CB0070,1884,0,1884,0.0
AB05CB0270,1895,0,1895,0.0
AB05CC0010,2521,0,2521,0.0
AB05CC0100,1880,0,1880,0.0
AB05CC0225,1867,0,1867,0.0
AB05CC0460,1868,0,1868,0.0
AB05CD0250,2520,0,2520,0.0
AB05CD0375,2506,0,2506,0.0
AB05CE0100,1824,0,1824,0.0
AB05CE0680,1430,0,1430,0.0
AB05CE0690,1443,0,1443,0.0
AB05CE0700,620,0,620,0.0
AB05CG0032,467,0,467,0.0
AB05CH0120,1716,0,1716,0.0
AB05CJ0030,1123,0,1123,0.0
AB05CJ0070,2493,0,2493,0.0
AB05DA0010,2968,0,2968,0.0
AB05DA0015,1474,0,1474,0.0
AB05DA0025,2102,0,2102,0.0
AB05DB0010,3084,0,3084,0.0
AB05DB0016,72,0,72,0.0
AB05DB0017,36,0,36,0.0
AB05DB0018,36,0,36,0.0
AB05DB0019,36,0,36,0.0
AB05DC0021,2159,0,2159,0.0
AB05DC0025,2445,0,2445,0.0
AB05DC0040,3073,0,3073,0.0
AB05DC0050,2297,0,2297,0.0
AB05DC0070,3025,0,3025,0.0
AB05DD0030,2963,0,2963,0.0
AB05DD0200,3044,0,3044,0.0
AB05DE0015,2516,0,2516,0.0
AB05DE0155,2106,0,2106,0.0
AB05DE2000,1961,0,1961,0.0
AB05DF0010,2564,0,2564,0.0
AB05DF0020,2681,0,2681,0.0
AB05DF0030,2028,0,2028,0.0
AB05DF0260,2084,0,2084,0.0
AB05DF0840,2089,0,2089,0.0
AB05EA0025,1863,0,1863,0.0
AB05EB0545,707,0,707,0.0
AB05EB0595,608,0,608,0.0
AB05EC0010,2588,0,2588,0.0
AB05EC0065,1867,0,1867,0.0
AB05ED0100,1781,0,1781,0.0
AB05EE0530,1853,0,1853,0.0
AB05FA0060,2442,0,2442,0.0
AB05FA0265,102,0,102,0.0
AB05FA0268,96,0,96,0.0
AB05FA0269,96,0,96,0.0
AB05FA0270,96,0,96,0.0
AB05FA0340,2453,0,2453,0.0
AB05FA1840,101,0,101,0.0
AB05FA1860,103,0,103,0.0
AB05FC0051,48,0,48,0.0
AB05FC0052,48,0,48,0.0
AB05FC0053,48,0,48,0.0
AB05FC0054,12,0,12,0.0
AB06AC0100,2524,0,2524,0.0
AB06AC0150,436,0,436,0.0
AB06AC0160,851,0,851,0.0
AB06AD0060,2529,0,2529,0.0
AB06AD0130,2534,0,2534,0.0
AB07AA0005,725,0,725,0.0
AB07AA0007,1772,0,1772,0.0
AB07AC0015,1152,0,1152,0.0
AB07AD0100,2578,0,2578,0.0
AB07AE0160,488,0,488,0.0
AB07AG0345,1216,0,1216,0.0
AB07AH0005,1215,0,1215,0.0
AB07BB0326,144,0,144,0.0
AB07BC0025,1774,0,1774,0.0
AB07BD0010,2583,0,2583,0.0
AB07BE0010,2544,0,2544,0.0
AB07BK0125,1744,0,1744,0.0
AB07CC0030,2612,0,2612,0.0
AB07DD0010,2609,0,2609,0.0
AB07DD0105,945,0,945,0.0
AB07FD0135,2515,0,2515,0.0
AB07GC0010,52,0,52,0.0
AB07GC0011,54,0,54,0.0
AB07GC0020,54,0,54,0.0
AB07GD0005,219,0,219,0.0
AB07GD0020,219,0,219,0.0
AB07GD0022,174,0,174,0.0
AB07GD0027,120,0,120,0.0
AB07GD0030,217,0,217,0.0
AB07GD0040,220,0,220,0.0
AB07GD0045,221,0,221,0.0
AB07GD0070,233,0,233,0.0
AB07GD0091,52,0,52,0.0
AB07GD0095,175,0,175,0.0
AB07GE0011,52,0,52,0.0
AB07GE0012,52,0,52,0.0
AB07GE0015,51,0,51,0.0
AB07GE0017,52,0,52,0.0
AB07GE0020,2424,0,2424,0.0
AB07GE0060,51,0,51,0.0
AB07GE0070,52,0,52,0.0
AB07GE0072,53,0,53,0.0
AB07GE0090,51,0,51,0.0
AB07GE0150,51,0,51,0.0
AB07GE0165,2422,0,2422,0.0
AB07GE0170,51,0,51,0.0
AB07GE0180,51,0,51,0.0
AB07GE0190,51,0,51,0.0
AB07GE0200,51,0,51,0.0
AB07GJ0010,2495,0,2495,0.0
AB07HA0230,2477,0,2477,0.0
AB07HF0010,2565,0,2565,0.0
AB11AA0070,2500,0,2500,0.0
AB11AA0150,1477,0,1477,0.0
AB11AA0270,1469,0,1469,0.0
AB11AA0280,1222,0,1222,0.0
AB11AA0290,909,0,909,0.0
AB11AA0330,529,0,529,0.0
