VmvCode,VariableName,Units,UniqueUnitCount,TotalRecords,IsConsistent
2005,RESIDUE NONFILTERABLE,mg/L,1,4580,True
2007,AMMONIA TOTAL,mg/L,1,4579,True
2013,PHOSPHORUS TOTAL (P),mg/L,1,4579,True
2009,NITROGEN TOTAL KJELDAHL (TKN),mg/L,1,4579,True
1595,CARBONATE (CALCD.),mg/L,1,4578,True
1599,SULPHATE DISSOLVED,mg/L,1,4578,True
1594,BICARBONATE (CALCD.),mg/L,1,4578,True
1596,HYDROXIDE (CALCD.),mg/L,1,4578,True
1593,ALKALINITY PHENOLPHTHALEIN CACO3,mg/L,1,4578,True
1592,ALKALINITY TOTAL CACO3,mg/L,1,4578,True
201,TOTAL DISSOLVED SOLIDS (CALCD.),mg/L,1,4578,True
2041,SPECIFIC CONDUCTANCE (LAB),uS/cm,1,4578,True
2010,PHOSPHORUS TOTAL DISSOLVED,mg/L,1,4578,True
2003,CHLORIDE DISSOLVED,mg/L,1,4578,True
19111,POTASSIUM DISSOLVED/FILTERED,mg/L,1,4578,True
10602,HARDNESS TOTAL CACO3 (CALCD.),mg/L,1,4578,True
11111,SODIUM DISSOLVED/FILTERED,mg/L,1,4578,True
12111,MAGNESIUM DISSOLVED/FILTERED,mg/L,1,4578,True
10301,PH (LAB),pH units,1,4578,True
102090,IRON DISSOLVED,mg/L,1,4578,True
102089,MANGANESE DISSOLVED,mg/L,1,4578,True
20111,CALCIUM DISSOLVED/FILTERED,mg/L,1,4578,True
7602,NITROGEN TOTAL (CALCD.),mg/L,1,4577,True
80558,OXYGEN DISSOLVED (FIELD METER),mg/L,1,4555,True
100925,TEMPERATURE WATER,deg C,1,4554,True
100924,SPECIFIC CONDUCTANCE (FIELD),uS/cm,1,4547,True
2014,PHOSPHATE DISSOLVED ORTHO,mg/L,1,4546,True
100923,PH (FIELD),pH units,1,4539,True
2008,NITROGEN DISSOLVED KJELDAHL (DKN),mg/L,1,4538,True
2002,TURBIDITY,NTU,1,4534,True
2004,RESIDUE FILTERABLE,mg/L,1,4534,True
106258,FOAM (VISUAL) AT SITE,,1,4519,True
106256,"FLOW, ESTIMATE",,1,4515,True
102647,NITROGEN NITRATE,mg/L,1,4514,True
102648,NITROGEN NITRITE,mg/L,1,4514,True
102649,NITROGEN NO3 & NO2,mg/L,1,4514,True
106259,TURBIDITY (VISUAL) AT SITE,,1,4507,True
106257,COLOUR (VISUAL) AT SITE,,1,4499,True
106260,ODOUR APPARENT IN SAMPLE,,1,4492,True
6107,CARBON DISSOLVED ORGANIC (DOC),mg/L; ug/L,2,4490,False
60209,IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.),%,1,4457,True
97320,CLOUD COVER,%,1,4443,True
97060,TEMPERATURE AIR,deg C,1,4363,True
22214,CARBON TOTAL ORGANIC (TOC),mg/L,1,4346,True
120,SUM OF CATIONS,meq/L,1,4306,True
125,SUM OF ANIONS,meq/L,1,4306,True
100632,ESCHERICHIA COLI,No/100 mL,1,4287,True
100629,COLIFORMS FECAL,No/100 mL,1,4287,True
22213,COLOUR TRUE,CU,1,3990,True
97203,SAMPLING DISTANCE FROM LEFT BANK,%,1,3963,True
99212,CHLOROPHYLL A,mg/m3,1,3926,True
2031,REDOX POTENTIAL,mV,1,2362,True
5154,OXYGEN-18 IN WATER,o/oo VSMOW,1,1962,True
5155,HYDROGEN-2 (DEUTERIUM) IN WATER,o/oo VSMOW,1,1962,True
106262,MACROPHYTE COVER,%,1,1629,True
106261,ALGAE COVER,%,1,1549,True
106268,"WATER DEPTH, ESTIMATE",m,1,1485,True
106265,SNOW COVER IN IMMEDIATE AREA,%,1,1437,True
106263,ICE COVER,%,1,1434,True
106264,SNOW COVER ON ICE,%,1,993,True
106266,"ICE THICKNESS, ESTIMATE",m,1,948,True
106267,"SNOW DEPTH ON ICE, ESTIMATE",m,1,904,True
9105,FLUORIDE DISSOLVED,mg/L,1,370,True
14377,FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),RFU,1,209,True
14376,FLUORESCENT DISSOLVED ORGANIC MATTER-FDOM (FIELD),ppb QSU,1,209,True
11201,SODIUM ADSORPTION RATIO (CALCD.),rel units,1,198,True
104784,CARBON DISSOLVED ORGANIC (DOC),mg/L,1,88,True
104315,CARBON TOTAL ORGANIC (TOC),mg/L,1,88,True
61700,NITROGEN NITRATE,mg/L,1,64,True
61701,NITROGEN NO3 & NO2,mg/L,1,64,True
14,NITROGEN NITRITE,mg/L,1,64,True
103118,RIVER WIDTH,m,1,56,True
14106,SILICA REACTIVE,mg/L,1,46,True
104311,CARBON DISSOLVED INORGANIC (DIC),mg/L,1,39,True
97202,SAMPLING DISTANCE FROM LEFT BANK,m,1,22,True
244,UV TRANSMITTANCE (254NM),% T/cm,1,16,True
2006,AMMONIA DISSOLVED,mg/L,1,15,True
6154,CARBON DISSOLVED INORGANIC (DIC),mg/L,1,4,True
6152,CARBON DISSOLVED INORGANIC (DIC),mg/L,1,4,True
1717,CYANIDE TOTAL,mg/L,1,2,True
61337,PHENOLIC MATERIAL,mg/L,1,2,True
5163,NITRILOTRIACETIC ACID (NTA),mg/L,1,2,True
61189,FORMALDEHYDE TOTAL,ug/L,1,2,True
109121,CARBON DISULFIDE,ug/L,1,2,True
8301,OXYGEN TOTAL COD,mg/L,1,1,True
101403,TANNIN AND LIGNIN LIG. SULPH.,mg/L,1,1,True
102629,SULPHIDE,mg/L,1,1,True
106554,LATITUDE,deg.,1,1,True
106555,LONGITUDE,deg.,1,1,True
107670,IONIC BALANCE DIFFERENCE (CALCD.),%,1,1,True
109225,HYDROGEN SULPHIDE H2S,mg/L,1,1,True
